name,population
California,"39,356,104"
95991,"43,978"
95993,"37,222"
96001,"34,721"
96002,"34,634"
96003,"43,945"
96006,587
96007,"24,849"
96008,"1,123"
96009,247
96010,28
96011,232
96013,"4,212"
96014,173
96015,560
96016,319
96017,143
96019,"10,466"
96020,"2,593"
96021,"15,746"
96022,"14,751"
96023,"1,189"
96024,"1,105"
96025,"2,247"
96027,"1,907"
96028,"1,805"
96029,120
96031,66
96032,"2,606"
96033,321
96034,345
96035,"4,097"
96037,131
96038,499
96039,726
96040,71
96041,"3,511"
96044,"1,215"
96046,328
96047,843
96048,"1,283"
96050,400
96051,"1,067"
96052,"2,538"
96054,269
96055,"3,760"
96056,"1,318"
96057,"1,158"
96058,809
96059,323
96061,0
96062,"1,002"
96063,77
96064,"4,690"
96065,364
96067,"7,321"
96068,125
96069,"1,390"
96071,7
96073,"5,648"
96074,183
96075,341
96076,152
96078,135
96080,"31,190"
96084,664
96085,38
96086,268
96087,824
96088,"4,703"
96090,421
96091,693
96092,402
96093,"3,959"
96094,"6,985"
96096,784
96097,"10,154"
96101,"4,824"
96103,"1,340"
96104,962
96105,429
96106,465
96107,868
96108,149
96109,"1,297"
96110,37
96111,23
96112,172
96113,"2,164"
96114,"2,927"
96115,122
96116,19
96117,288
96118,"1,581"
96119,31
96120,"1,209"
96121,145
96122,"4,121"
96123,62
96124,320
96125,234
96126,227
96128,600
96129,640
96130,"21,460"
96132,17
96133,188
96134,"2,236"
96135,106
96136,40
96137,"2,949"
96140,"1,219"
96141,592
96142,946
96143,"3,130"
96145,"3,081"
96146,"1,147"
96148,630
96150,"29,457"
96155,0
96161,"19,146"
97635,345
