name,population
California,"39,356,104"
92065,"36,836"
92066,319
92067,"9,186"
92069,"46,648"
92070,761
92071,"59,795"
92075,"12,072"
92078,"53,019"
92081,"29,475"
92082,"20,678"
92083,"37,864"
92084,"49,971"
92086,"1,409"
92091,"1,288"
92092,521
92093,"2,044"
92096,0
92101,"46,025"
92102,"40,051"
92103,"34,296"
92104,"46,613"
92105,"72,688"
92106,"20,483"
92107,"29,435"
92108,"24,201"
92109,"44,009"
92110,"30,773"
92111,"47,710"
92113,"50,983"
92114,"66,487"
92115,"61,456"
92116,"31,836"
92117,"54,499"
92118,"17,602"
92119,"24,419"
92120,"30,241"
92121,"4,150"
92122,"45,988"
92123,"32,951"
92124,"31,121"
92126,"78,111"
92127,"51,107"
92128,"49,273"
92129,"52,495"
92130,"57,363"
92131,"35,227"
92132,0
92134,241
92135,"1,095"
92136,"9,630"
92139,"34,930"
92140,"2,807"
92145,"2,810"
92147,180
92154,"83,758"
92155,196
92161,12
92173,"28,609"
92179,"3,031"
92182,0
92201,"64,325"
92203,"33,558"
92210,"4,832"
92211,"26,741"
92220,"32,797"
92222,0
92223,"61,686"
92225,"21,189"
92227,"27,540"
92230,"2,039"
92231,"38,674"
92233,"6,871"
92234,"51,964"
92236,"42,506"
92239,296
92240,"40,755"
92241,"8,232"
92242,"1,230"
92243,"49,193"
92249,"7,910"
92250,"8,033"
92251,"27,050"
92252,"7,911"
92253,"37,898"
92254,"9,362"
92256,"3,387"
92257,"1,186"
92258,547
92259,225
92260,"31,039"
92262,"25,856"
92264,"20,229"
92266,170
92267,0
92268,405
92270,"17,257"
92273,"1,631"
92274,"15,917"
92275,"1,406"
92276,"8,242"
92277,"27,370"
92278,"3,574"
92280,0
92281,"2,238"
92282,"1,361"
92283,"1,967"
92284,"25,741"
92285,"2,726"
92301,"38,565"
92304,0
92305,500
92307,"40,534"
92308,"43,191"
92309,561
92310,"8,967"
92311,"34,226"
92313,"13,104"
92314,"10,658"
92315,"5,228"
92316,"30,656"
92317,567
92320,"10,366"
92321,784
92322,746
92324,"57,593"
92325,"8,449"
92327,633
92328,"1,022"
92332,177
92333,429
92335,"96,704"
92336,"100,571"
92337,"37,292"
92338,0
92339,"1,064"
92341,331
92342,"6,317"
92344,"20,448"
92345,"87,476"
92346,"60,025"
92347,601
92350,468
92352,"6,147"
92354,"23,054"
92356,"7,048"
92358,762
92359,"9,758"
92363,"5,447"
92364,12
92365,"2,393"
92368,"1,018"
92369,"3,999"
92371,"21,265"
92372,"5,208"
92373,"33,946"
92374,"44,976"
92376,"85,727"
92377,"20,935"
92378,437
92382,"4,884"
92384,23
92385,167
92386,"2,064"
92389,187
92391,"2,177"
92392,"61,859"
92394,"39,939"
92395,"48,479"
92397,"5,059"
92398,"1,394"
92399,"55,236"
92401,"2,060"
92404,"64,090"
92405,"31,550"
92407,"67,207"
92408,"12,478"
92410,"48,398"
92411,"26,915"
92415,0
92501,"22,136"
92503,"88,617"
92504,"57,636"
92505,"52,696"
92506,"44,344"
92507,"60,949"
92508,"36,500"
92509,"80,325"
92518,"1,132"
92521,0
92530,"58,249"
92532,"27,454"
92536,"2,569"
92539,"3,760"
92543,"38,403"
92544,"51,567"
92545,"45,219"
92548,"7,110"
92549,"3,535"
92551,"36,326"
92553,"73,945"
92555,"44,923"
92557,"54,936"
92561,"1,622"
92562,"64,155"
92563,"78,139"
92567,"10,721"
92570,"58,275"
92571,"59,896"
92582,"21,961"
92583,"33,781"
92584,"54,663"
92585,"27,083"
92586,"20,152"
92587,"18,926"
92590,"5,212"
92591,"41,047"
92592,"81,636"
92595,"34,698"
92596,"35,726"
92602,"26,663"
92603,"19,329"
92604,"29,080"
92606,"24,431"
92610,"13,107"
92612,"34,868"
92614,"29,544"
92617,"20,432"
92618,"59,386"
92620,"61,110"
92624,"6,881"
92625,"12,546"
92626,"50,198"
92627,"62,181"
92629,"26,144"
92630,"66,240"
92637,"17,452"
92646,"56,033"
92647,"60,114"
92648,"45,667"
92649,"35,206"
92651,"23,981"
92653,"29,923"
92655,"8,040"
92656,"53,143"
92657,"9,169"
92660,"35,926"
92661,"3,300"
92662,"2,346"
92663,"21,886"
92672,"38,020"
92673,"30,633"
92675,"35,099"
92676,"1,952"
92677,"64,259"
92678,630
92679,"30,971"
92683,"90,630"
92688,"44,444"
92691,"48,073"
92692,"45,977"
92694,"35,074"
92697,0
92701,"49,462"
92703,"61,593"
92704,"80,767"
92705,"46,854"
92706,"36,548"
92707,"59,712"
92708,"56,754"
92780,"54,945"
92782,"29,838"
92801,"64,022"
92802,"44,316"
92804,"84,700"
92805,"73,310"
92806,"40,945"
92807,"36,117"
92808,"21,080"
92821,"41,604"
92823,"5,495"
92831,"36,470"
92832,"26,040"
92833,"52,799"
92835,"26,687"
92840,"53,826"
92841,"34,188"
92843,"47,549"
92844,"22,622"
92845,"15,530"
92860,"25,367"
92861,"5,814"
92865,"21,140"
92866,"14,873"
92867,"44,216"
92868,"27,280"
92869,"36,429"
92870,"53,150"
92879,"49,111"
92880,"74,645"
92881,"31,401"
92882,"69,472"
92883,"37,211"
92886,"50,437"
92887,"20,353"
93001,"31,751"
93003,"53,283"
93004,"31,151"
93010,"47,656"
93012,"36,145"
93013,"16,459"
93015,"18,716"
93021,"37,980"
93022,"6,422"
93023,"21,279"
93030,"58,511"
93033,"82,517"
93035,"26,286"
93036,"46,959"
93040,"1,838"
93041,"23,108"
93042,107
93043,722
93060,"34,337"
93063,"57,075"
93064,0
93065,"72,086"
93066,"2,805"
93067,999
93101,"29,870"
93103,"19,653"
93105,"26,482"
93106,"5,369"
93108,"11,209"
93109,"11,626"
93110,"16,403"
93111,"18,165"
93117,"53,345"
93201,"1,209"
93202,"4,308"
93203,"20,781"
93204,"13,423"
93205,"2,320"
93206,"1,709"
93207,232
93208,127
93210,"18,937"
93212,"23,391"
93215,"53,334"
93218,796
93219,"9,871"
93220,0
93221,"14,423"
93222,"2,036"
93223,"10,424"
93224,501
93225,"5,018"
93226,55
93227,227
93230,"68,572"
